date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:30:54	132/132	---MCZ	200	added ('OK')	text/plain	date:Tue,%2018%20Feb%202025%2023:08:56%20GMT	https://tekashi-panenled-real.blogspot.com/robots.txt		(from )
05:30:54	32442/32442	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Feb%202025%2023:08:56%20GMT	https://tekashi-panenled-real.blogspot.com/?m=1	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/tekashi-panenled-real.blogspot.com/index40aa.html	(from )
05:30:55	1882/1882	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2013:30:55%20GMT	https://tekashi-panenled-real.blogspot.com/'%20rel='icon'%20type='image/x-icon	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/tekashi-panenled-real.blogspot.com/'%20rel='icon'%20type='image/x-icon.0.delayed	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:30:55	871/871	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Feb%202025%2020:54:42%20GMT	http://www.blogger.com/static/v1/v-css/navbar/3334278262-classic.css	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/www.blogger.com/static/v1/v-css/navbar/3334278262-classic.css	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:30:56	64275/64275	---M--	200	added ('OK')	text/javascript	etag:%226f0e483c03e49aef%22	https://apis.google.com/js/platform.js	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/apis.google.com/js/platform.js	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:30:57	82289/82289	---M--	200	added ('OK')	image/jpeg	etag:%225cf8aa9d8633c69c%22	https://uproxx.com/wp-content/uploads/2020/08/tekashi-69-tattle-tales.jpg	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/uproxx.com/wp-content/uploads/2020/08/tekashi-69-tattle-tales.jpg	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:30:57	245207/245207	---M--	200	added ('OK')	image/jpeg	etag:%2263f06fe9-3e9f9%22	https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/02/18/4fc2d542-d9c3-414f-9278-b7aac44e90d0_f20263a5.jpg	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/02/18/4fc2d542-d9c3-414f-9278-b7aac44e90d0_f20263a5.jpg	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:31:19	215930/215930	---M--	200	added ('OK')	image/png	etag:%22a4a2d2589fa1a8f772e8f10d7a33f2a3%22	https://i.pinimg.com/originals/02/1b/df/021bdff8984ad9f3706e2a2317c078f0.png	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/i.pinimg.com/originals/02/1b/df/021bdff8984ad9f3706e2a2317c078f0.png	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:31:20	39429/39429	---M--	200	added ('OK')	image/jpeg	etag:%2267a33cb0-9a05%22	https://icon-library.com/images/visa-master-icon/visa-master-icon-26.jpg	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/icon-library.com/images/visa-master-icon/visa-master-icon-26.jpg	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:31:38	179485/179485	---M--	200	added ('OK')	image/png	etag:%22ve7%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjDT5PQhQ-7FaZTDfSR-N_SzOyBVWhUn8O4q-Itv7PvTDkkxd7lwTY1Vlt4JeBrllAWWxuZwo25YsLXgTGruBgSbklCXGUDYrUG-VsvU4u6B6eQpzsvmpNWww7_5vVzzKJs-XKYM3o27g66K82CzQ9hcmim5_7GGrTovwiGaIyc22eDfc2aze_6rPf1q3Y/s610/1000013038.png	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjDT5PQhQ-7FaZTDfSR-N_SzOyBVWhUn8O4q-Itv7P/s610/1000013038.png	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:31:59	8141/8141	---M--	200	added ('OK')	image/gif	date:Sat,%2029%20Jun%202024%2020:46:18%20GMT	https://i.ibb.co.com/mHK5DJz/Tanda-Panah-Bawah-1.gif	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/i.ibb.co.com/mHK5DJz/Tanda-Panah-Bawah-1.gif	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:32:02	48928/48928	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202024%2019:23:51%20GMT	https://i.ibb.co.com/r73K1qj/Whats-App-Image-2024-05-25-at-02-22-37.jpg	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/i.ibb.co.com/r73K1qj/Whats-App-Image-2024-05-25-at-02-22-37.jpg	(from https://tekashi-panenled-real.blogspot.com/?m=1)
05:32:02	78565/78565	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202024%2019:32:46%20GMT	https://i.ibb.co.com/0QmL1dq/Whats-App-Image-2024-05-25-at-02-31-54.jpg	C:/Users/user/Desktop/Activator%20Win%20+%20Office/Tekashi/i.ibb.co.com/0QmL1dq/Whats-App-Image-2024-05-25-at-02-31-54.jpg	(from https://tekashi-panenled-real.blogspot.com/?m=1)
